,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
TCGA-10-0926-01,1.0,1.3020922e-24,1.0,0.0,1.0,0.0,1.0,2.545196e-38,1.0,8.407263e-06,2.7452303e-11,1.0,1.0,0.0,2.8449656e-12,1.0,1.3452757e-25,1.0,0.0,1.1258192e-23,0.0,0.0,1.0,1.0,0.0,7.781807e-22,2.7944854e-32,0.0,1.0,1.0,0.016316354,0.0,1.0,1.0,1.0,8.701125e-11,1.0,0.0,0.0,5.6628803e-22,8.2988027e-16,0.0,0.99999666,7.0442987e-12,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.99984634,0.0,1.0,4.1046587e-34,1.0,1.0,0.0,1.0,1.0620762e-09,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1144104e-31,1.0,0.0,5.3781422e-14,1.0,4.656954e-13,1.0,1.0,0.0,1.0,0.0,0.99935216,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9785613,2.298078e-15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.066744976,0.0,1.0,1.0,1.0,1.0,1.0,1.7870594e-20,1.0,1.0,6.0656806e-11,1.0,1.0,1.0,1.5165715e-19,1.0,0.0,3.5418867e-23,1.0,1.0
TCGA-10-0927-01,1.0,1.5265562e-25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.014843575,1.6581518e-10,1.0,1.0,2.7956248e-33,1.0063832e-15,1.0,9.51096e-31,1.0,0.0,1.7634318e-13,0.0,0.0,1.0,1.0,0.0,7.639025e-26,9.59566e-22,0.0,1.0,1.0,0.023694236,0.0,1.0,1.0,1.0,1.1446739e-05,1.0,0.0,0.0,2.0785871e-17,5.774919e-16,0.0,0.00014486101,3.3846301e-25,1.0,1.0,1.0,0.0,1.0,1.0,6.163973e-38,1.0,1.0,0.4075374,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.19418965e-14,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.703732e-37,1.0,0.0,2.4199823e-08,1.0,1.3519858e-08,1.0,1.0,0.0,1.0,0.0,0.9999956,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9227813e-33,1.0,0.87227416,2.7118694e-16,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8456193,0.0,1.0,1.0,1.0,1.0,1.0,9.775637e-20,1.0,1.0,0.016546044,1.0,1.0,1.0,4.594623e-16,1.0,0.0,4.875174e-23,1.0,1.0
TCGA-10-0930-01,1.0,3.3869533e-26,1.0,0.0,1.0,0.0,1.0,3.1257655e-37,1.0,0.99973005,3.487773e-12,1.0,1.0,2.8214267e-38,3.508699e-11,1.0,2.1437484e-34,1.0,0.0,1.2975262e-23,0.0,0.0,1.0,1.0,0.0,1.8641839e-27,7.591573e-37,0.0,1.0,1.0,2.7917067e-06,0.0,1.0,1.0,1.0,4.5409162e-14,1.0,0.0,0.0,5.196454e-29,3.9496175e-12,0.0,0.10450097,8.156209e-19,1.0,1.0,0.99994004,0.0,1.0,1.0,0.0,1.0,0.99799937,0.9997975,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.2005501e-06,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.3861941e-13,1.0,1.1552181e-11,1.0,1.0,0.0,1.0,0.0,0.2918106,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.9188785e-15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9232202e-06,0.0,1.0,0.8073776,1.0,1.0,1.0,2.5450346e-20,1.0,1.0,8.672936e-27,1.0,1.0,1.0,1.1770082e-29,1.0,0.0,1.1122982e-26,1.0,1.0
TCGA-10-0931-01,1.0,2.4512247e-14,1.0,0.0,1.0,0.0,1.0,6.394368e-33,1.0,1.5247547e-14,0.005849085,1.0,1.0,3.614024e-35,1.008046e-13,0.99999225,5.0981357e-09,1.0,0.0,2.2538557e-20,0.0,2.8442617e-37,1.0,1.0,0.0,7.7365186e-15,3.1710278e-24,0.0,1.0,1.0,0.99596786,0.0,1.0,1.0,1.0,1.14050415e-10,1.0,0.0,0.0,0.9994997,5.701964e-22,0.0,1.0,0.0042375047,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9993468,0.0,1.0,9.235331e-25,1.0,1.0,2.0646677e-35,1.0,1.6441741e-15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5001853e-14,1.0,0.0,1.7151289e-18,1.0,4.9349972e-14,1.0,1.0,0.0,1.0,2.6308612e-31,1.0,9.8854476e-33,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.959623e-29,1.0,8.177093e-09,3.4409225e-17,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.034805e-16,1.0,1.0,1.0,1.0,1.0,1.0,0.5244878,1.0,0.0,1.8880786e-10,1.0,1.0
TCGA-10-0933-01,1.0,2.9190955e-30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9998511,5.919151e-14,1.0,1.0,0.0,8.200751e-10,1.0,0.0,1.0,0.0,3.6109776e-28,0.0,0.0,1.0,1.0,0.0,2.7847313e-29,0.0,0.0,1.0,1.0,3.0586587e-05,0.0,1.0,1.0,1.0,1.9962832e-13,1.0,0.0,0.0,1.445697e-37,5.5011e-12,0.0,0.8669921,5.4852096e-18,1.0,1.0,0.9988067,0.0,1.0,1.0,0.0,1.0,0.9995622,0.9999993,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0030892824,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.3277876e-13,1.0,4.220407e-12,1.0,1.0,0.0,1.0,0.0,3.1472722e-05,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.150295e-15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5064591e-11,0.0,1.0,0.01502931,1.0,1.0,1.0,1.3901588e-23,1.0,1.0,7.0119484e-32,1.0,1.0,1.0,3.0068608e-34,1.0,0.0,5.302192e-32,1.0,1.0
TCGA-10-0934-01,1.0,2.7269603e-18,1.0,0.0,1.0,0.0,1.0,1.377782e-33,1.0,2.4817698e-11,3.6393514e-05,1.0,1.0,0.0,1.9386572e-10,1.0,7.579943e-14,1.0,0.0,1.088885e-25,0.0,0.0,1.0,1.0,0.0,7.138885e-16,2.0166658e-32,0.0,1.0,1.0,0.77702904,0.0,1.0,1.0,1.0,7.620986e-13,1.0,0.0,0.0,3.8630137e-08,7.339794e-19,0.0,1.0,0.42146802,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9998722,0.0,1.0,2.1789727e-24,1.0,1.0,1.6971761e-36,1.0,2.6480365e-10,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.001305e-16,1.0,0.0,1.9415172e-18,1.0,2.2116396e-14,1.0,1.0,0.0,1.0,2.0566782e-30,1.0,4.2946934e-34,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.4926764e-05,2.238796e-16,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9999994,1.0,1.0,1.0,3.733375e-18,1.0,1.0,0.05364407,1.0,1.0,1.0,1.0691655e-09,1.0,0.0,1.2315422e-15,1.0,1.0
TCGA-10-0936-01,1.0,4.405234e-27,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6135394,1.1227311e-12,1.0,1.0,1.7581911e-37,1.3552187e-11,1.0,1.3712862e-32,1.0,0.0,3.8064205e-22,0.0,0.0,1.0,1.0,0.0,1.779279e-26,5.1905616e-32,0.0,1.0,1.0,0.06218194,0.0,1.0,1.0,1.0,4.4941938e-08,1.0,0.0,0.0,5.8926966e-27,7.723331e-13,0.0,0.9788728,3.8143482e-19,1.0,1.0,0.9999927,0.0,1.0,1.0,0.0,1.0,0.9999999,0.9995024,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.6453835e-07,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0861941e-37,1.0,0.0,1.45416e-10,1.0,1.0232874e-10,1.0,1.0,0.0,1.0,0.0,0.4302833,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9999908,3.9757397e-15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.106343e-06,0.0,1.0,1.0,1.0,1.0,1.0,5.8614616e-21,1.0,1.0,1.0905039e-14,1.0,1.0,1.0,5.1017737e-24,1.0,0.0,2.5862497e-26,1.0,1.0
TCGA-10-0937-01,1.0,1.3650643e-14,1.0,0.0,1.0,0.0,1.0,3.063026e-31,1.0,4.289968e-16,0.017325861,1.0,1.0,8.3700527e-38,1.1951549e-12,0.999813,5.379179e-07,1.0,0.0,5.452856e-24,0.0,3.762019e-36,1.0,1.0,0.0,2.628914e-13,5.525167e-28,0.0,1.0,1.0,0.95705104,0.0,1.0,1.0,1.0,1.8174304e-11,1.0,0.0,0.0,0.9757184,5.393797e-22,0.0,1.0,0.9932064,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9992823,0.0,1.0,3.235425e-22,1.0,1.0,4.8790002e-33,1.0,4.1903557e-14,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.210324e-12,1.0,0.0,6.120772e-21,1.0,2.7235442e-15,1.0,1.0,0.0,1.0,1.4980909e-27,1.0,1.8672261e-31,0.0,0.99999976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.09516305e-32,1.0,3.3349494e-09,5.235005e-17,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.232008e-16,1.0,1.0,1.0,1.0,1.0,1.0,0.1541808,1.0,0.0,4.689135e-11,1.0,1.0
TCGA-10-0938-01,1.0,8.3473123e-32,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9999995,3.7566813e-15,1.0,1.0,0.0,5.2037517e-11,1.0,0.0,1.0,0.0,1.491978e-26,0.0,0.0,1.0,1.0,0.0,1.1886754e-31,0.0,0.0,1.0,1.0,1.4709485e-06,0.0,1.0,1.0,1.0,1.4550227e-14,1.0,0.0,0.0,0.0,8.968805e-11,0.0,3.1420994e-05,1.5713148e-21,1.0,1.0,0.7015768,0.0,1.0,1.0,0.0,1.0,0.58430356,0.99999833,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0064479895,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.7924237e-11,1.0,8.8735295e-12,1.0,1.0,0.0,1.0,0.0,1.2462559e-06,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.1156102e-15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.020109e-14,0.0,1.0,0.0032439742,1.0,1.0,1.0,2.2078645e-24,1.0,1.0,2.6585975e-37,1.0,1.0,1.0,4.0629626e-38,1.0,0.0,3.0597295e-33,1.0,1.0
TCGA-13-0883-01,1.0,4.882158e-21,1.0,0.0,1.0,0.0,1.0,5.4050664e-36,1.0,0.11187288,1.9349196e-07,1.0,1.0,5.6712124e-34,1.1837336e-13,1.0,2.9530262e-26,1.0,0.0,3.3982652e-18,0.0,0.0,1.0,1.0,0.0,3.2585201e-25,1.5045511e-27,0.0,1.0,1.0,5.2024552e-05,0.0,1.0,1.0,1.0,2.5069205e-13,1.0,0.0,0.0,3.1838653e-12,2.1165537e-17,0.0,0.5294442,6.945126e-18,1.0,1.0,1.0,0.0,1.0,1.0,1.1827579e-33,1.0,0.9951923,0.6293978,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.2819906e-13,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7406834e-33,1.0,0.0,7.062786e-19,1.0,1.2770045e-10,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3087429e-35,1.0,0.89288497,4.242913e-14,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99971265,0.0,1.0,0.99999833,1.0,1.0,1.0,2.911365e-16,1.0,1.0,2.3897932e-14,1.0,1.0,1.0,2.472329e-19,1.0,0.0,1.25939e-18,1.0,1.0
